0	c0	11
0	90	69	100
1000	80	69	0
1000	90	64	100
1125	80	64	0
1125	90	69	100
1250	80	69	0
1250	90	64	100
1375	80	64	0
1375	90	67	100
2375	80	67	0
2375	90	69	100
2875	80	69	0
2875	90	64	100
3875	80	64	0
3875	90	67	100
4125	80	67	0
4125	90	67	100
4375	80	67	0
4375	90	64	100
4875	80	64	0
4875	90	72	100
5375	80	72	0
5365	90	64	100
5500	80	64	0
5500	90	67	100
5750	80	67	0
5750	90	60	100
6000	80	60	0
6000	90	72	100
7000	80	72	0
7000	90	64	100
7250	80	64	0
7250	90	69	100
7750	80	69	0
7750	90	72	100
8250	80	72	0
8250	90	64	100
8375	80	64	0
8375	90	67	100
8625	80	67	0
8625	90	64	100
8750	80	64	0
8650	90	67	100
8875	80	67	0
8875	90	69	100
9375	80	69	0
9375	90	60	100
9500	80	60	0
9500	90	67	100
9750	80	67	0
9750	90	62	100
10750	80	62	0
10750	90	62	100
11750	80	62	0
11750	90	64	100
12750	80	64	0
12750	90	72	100
13750	80	72	0
13750	90	69	100
14250	80	69	0
14250	90	64	100
14375	80	64	0
14375	90	62	100
14500	80	62	0
14500	90	69	100
14625	80	69	0
14625	90	69	100
15625	80	69	0
15625	90	60	100
15875	80	60	0
15875	90	72	100
16125	80	72	0
16125	90	67	100
16625	80	67	0
16625	90	62	100
16750	80	62	0
16750	90	60	100
16875	80	60	0
16875	90	69	100
17000	80	69	0
17000	90	72	100
17125	80	72	0
17125	90	72	100
17250	80	72	0
17250	90	67	100
17500	80	67	0
17500	90	72	100
16750	80	72	0
17750	90	69	100
18000	80	69	0
18000	90	72	100
18250	80	72	0
18250	90	62	100
18375	80	62	0
18375	90	72	100
18625	80	72	0
18625	90	64	100
18750	80	64	0
18750	90	67	100
19000	80	67	0
