0       c0      15
0       c2      16
0       c1      17
0       90      82      127
0       b1      7       100
0       b0      7       90
0       b2      7       120
0       b2      10      127
0       b0      10      0
0       b1      10      64
249     80      82      0
250     90      72      80
749     80      72      0
750     90      84      80
1749    80      84      0
1750    90      82      80
1999    80      82      0
2000    90      77      80
2499    80      77      0
2500    90      73      80
3499    80      73      0
3500    90      73      80
3749    80      73      0
3750    90      79      80
4249    80      79      0
4250    90      77      80
5249    80      77      0
5250    90      80      80
5499    80      80      0
5500    90      79      80
5999    80      79      0
6000    90      80      127
6999    80      80      0
7000    90      77      80
7249    80      77      0
7250    90      73      80
7749    80      73      0
7750    90      77      80
8000    91      61      80
8249    81      61      0
8250    91      67      80
8749    80      77      0
8749    81      67      0
8750    91      67      80
8750    90      84      80
8999    80      84      0
9000    90      79      127
9499    80      79      0
9500    90      77      80
9749    81      67      0
9750    91      68      80
9999    81      68      0
10000   91      61      80
10499   81      61      0
10499   80      77      0
10500   90      73      127
10500   91      67      127
10749   80      73      0
10750   90      79      80
11249   80      79      0
11250   90      79      80
11499   81      67      0
11500   91      67      80
11749   81      67      0
11750   91      64      80
12249   81      64      0
12249   80      79      0
12250   91      61      80
12250   90      80      80
12499   80      80      0
12500   90      77      80
12999   80      77      0
13000   90      72      80
13249   81      61      0
13250   91      72      80
13499   81      72      0
13500   91      65      127
13999   80      72      0
13999   81      65      0
14000   90      72      80
14000   91      72      80
14249   80      72      0
14250   90      80      80
14749   80      80      0
14750   90      84      80
14999   81      72      0
15000   91      60      127
15249   81      60      0
15250   91      70      80
15749   81      70      0
15749   80      84      0
15750   91      70      80
15750   90      76      80
15999   80      76      0
16000   92      58      80
16000   90      73      80
16249   82      58      0
16250   92      55      80
16499   80      73      0
16500   90      72      127
16749   82      55      0
16749   81      70      0
16750   91      67      80
16750   92      58      80
16999   81      67      0
17000   91      70      80
17499   81      70      0
17499   80      72      0
17500   91      61      80
17500   90      79      80
17749   82      58      0
17749   80      79      0
17750   90      72      80
17750   92      55      80
17999   82      55      0
18000   92      56      127
18249   80      72      0
18250   90      73      80
18499   81      61      0
18499   82      56      0
18500   92      48      80
18500   91      68      80
18749   81      68      0
18750   91      72      80
19249   81      72      0
19249   80      73      0
19250   91      72      80
19250   90      73      80
19499   80      73      0
19499   82      48      0
19500   90      72      127
19500   92      49      127
19749   82      49      0
19750   92      56      80
19999   80      72      0
20000   90      77      80
20249   82      56      0
20249   81      72      0
20250   92      52      80
20250   91      65      80
20499   81      65      0
20500   91      65      80
20999   80      77      0
20999   81      65      0
21000   91      68      127
21000   90      73      127
21249   82      52      0
21249   80      73      0
21250   90      73      80
21250   92      52      80
21499   82      52      0
21500   92      53      80
21749   80      73      0
21750   90      84      80
21999   81      68      0
21999   82      53      0
22000   92      56      80
22000   91      61      80
